题号,题干,A,B,C,D,E,答案,难度,题型
1,以下关于工业革命阶段的描述正确的是：,第一阶段始于英国，主要标志是电力技术和流水线生产的应用。,第二阶段始于贝西默炼钢法，实现了工业电气化和大规模流水线制造。,第三阶段以蒸汽机的发明为核心，推动了生产自动化的发展。,第四阶段是指1950—2010年间，以电子信息技术和PLC为主要特征。,,B,无,单选题
2,5G将无线通信的服务对象从以人为主延伸到了什么范围？,仅人与人连接,人与物全连接,仅物与物连接,人与动物连接,,B,无,单选题
3,以下哪项不属于5G的核心内容之一？,连接成为人与物的标准配置,关键和海量的机器连接,固定电话网的升级改造,软件定义网络和网络功能虚拟化,,C,无,单选题
4,5G相比前代移动通信技术的扩展方向有哪些？,从以人为主要服务对象延伸到人与物全连接,支持关键和海量的机器连接,仅提升语音通话质量,仅增加数据传输速率,,AB,无,多选题
5,5G的服务对象仍然仅以人为中心。,,,,,,错误,无,判断题
6,第一代商用模拟移动通信系统部署于哪个年代？,20世纪70年代,20世纪80年代,20世纪90年代,21世纪初,,B,无,单选题
7,2G系统的标志是什么？,实现了模拟发送技术和交换技术,实现了数字发送技术和交换技术,实现了分组交换技术,实现了MIMO技术,,B,无,单选题
8,GSM系统采用的多址技术是什么？,仅FDMA,仅TDMA,TDMA/FDMA混合技术,CDMA,,C,无,单选题
9,以下哪个技术被认为是4G的核心技术？,GSM,WCDMA,LTE,HSPA,,C,无,单选题
10,5G推进组是由哪个国家主导成立的？,中国,美国,韩国,日本,,A,无,单选题
11,以下哪个不是5G的主要应用领域？,农业,金融,健康医疗,固定电话,,D,无,单选题
12,以下哪个技术不属于5G的关键能力？,增强移动宽带(eMBB),超高可靠低时延通信(uRLLC),海量机器类通信(mMTC),电路交换语音(CSFB),,D,无,单选题
13,2G系统的主要技术包括哪些？,GSM,CDMAOne,PDC,WCDMA,,ABC,无,多选题
14,5G的主要应用领域包括哪些？,智能交通,远程医疗,工业自动化,固定宽带接入,,ABC,无,多选题
15,5G的关键性能指标包括哪些？,峰值速率10 Gbit/s,时延1 ms,连接数密度10^6/km²,频谱效率提升10倍,,ABCD,无,多选题
16,LTE与UMTS是后向兼容的。,,,,,,错误,无,判断题
17,5G的应用场景仅包括增强移动宽带(eMBB)。,,,,,,错误,无,判断题
18,5G系统提出的三个一般服务不包括以下哪一项？,极限移动宽带(xMBB),海量机器类通信(mMTC),超可靠机器类通信(uMTC),增强型移动宽带(eMBB),,D,无,单选题
19,以下哪项是xMBB服务的核心特点？,支持海量低功耗设备连接,提供极高数据速率和低时延通信,满足超可靠低时延通信需求,主要用于工业制造控制场景,,B,无,单选题
20,以下哪种空中接口更适合xMBB服务？,FBMC,UF-OFDM,基于OFDM的灵活空中接口,以上都不适合,,C,无,单选题
